2022-01-31 13:56:03, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-31 13:56:07, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-31 13:58:02, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-31 13:58:19, Lasting QC, shoes, 917, 521, -101.82148834060726
2022-01-31 13:58:54, Lasting QC, shoes, 958, 539, -109.6538240580533
2022-01-31 13:59:05, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-01-31 13:59:26, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-31 13:59:44, Lasting QC, shoes, 921, 540, 153.434948822922
2022-01-31 13:59:45, Lasting QC, shoes, 911, 540, 135.0
2022-01-31 14:03:24, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-31 14:03:28, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-31 14:14:43, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-31 14:14:46, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-31 14:16:53, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-31 14:17:13, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-01-31 14:17:52, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-01-31 14:18:05, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-01-31 14:18:28, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-31 14:18:52, Lasting QC, shoes, 930, 538, -23.19859051364819
